query,candidate,label,category,city
cheap spa Rabat,"Rue Hammam Chorfa - casual spa in Rabat, cuisine: nan, rated 3.6/5",high,spa,Rabat
where can i find a pharmacy in Casablanca,"Pharmacie Aswar Meknès صيدلية أسوار مكناس - casual pharmacy in Meknes, cuisine: nan, rated 3.5/5",medium,pharmacy,Casablanca
bar in Pachalik,"Bar à Boucles Rabat - casual bar in Rabat, cuisine: nan, rated 3.5/5",medium,bar,Pachalik
gym Meknes,"Nord-Pinus Bar - casual bar in Tangier, cuisine: nan, rated 3.5/5, phone available",low,gym,Meknes
pharmacy Fes,"Pharmacie corniche oued fes - casual pharmacy in Fes, cuisine: nan, rated 3.5/5",high,pharmacy,Fes
massage Marrakech,"Hammam Hilton Marrakech - casual spa in Marrakech, cuisine: nan, rated 3.5/5",high,spa,Marrakech
i want to eat in Oujda,"Restaurant Tament - casual restaurant in Oujda, cuisine: nan, rated 3.5/5, phone available",high,restaurant,Oujda
burger place Marrakech,"LIONZ KEBAB Casablanca - casual fast_food in Casablanca, cuisine: burger;fries;fried_chicken;sandwich;kebab;tacos, rated 3.5/5, website available, phone available",medium,fast_food,Marrakech
budget bar Ifrane,"Strandbar - casual bar in Agadir, cuisine: nan, rated 3.5/5",medium,bar,Ifrane
fast food in Rabat,"Fast Food - budget fast_food in Rabat, cuisine: nan, rated 3.5/5",high,fast_food,Rabat
where can i find a pharmacy in Khenifra,"Pharmacie Route De Marrakech صيدلية طريق مراكش - casual pharmacy in Pachalik, cuisine: nan, rated 3.5/5",medium,pharmacy,Khenifra
massage Fes,"Le bain Maure hammam & spa - casual spa in Fes, cuisine: nan, rated 3.5/5",high,spa,Fes
where to sleep in Majjate,"Marjane Oujda مرجان وجدة - casual supermarket in Oujda, cuisine: nan, rated 3.5/5, website available, phone available",low,hotel,Majjate
best restaurant Meknes good reviews,"Plaza Meknes - casual restaurant in Meknes, cuisine: nan, rated 3.5/5",high,restaurant,Meknes
where to buy food in Oujda,"Belhaj Fast Food - budget fast_food in Casablanca, cuisine: nan, rated 3.5/5",low,supermarket,Oujda
training club Oujda,"Millenium Fitness & Spa - casual gym in Rabat, cuisine: nan, rated 3.5/5, phone available",medium,gym,Oujda
hammam Mechouar,"Fast Food - budget fast_food in Rabat, cuisine: nan, rated 3.5/5",low,spa,Mechouar
bar in Agadir,"Strandbar - casual bar in Agadir, cuisine: nan, rated 3.5/5",high,bar,Agadir
i want to eat in Bni,"Restaurant - casual restaurant in Bni, cuisine: nan, rated 3.5/5",high,restaurant,Bni
place for coffee in Kénitra,"La vue de Rabat - casual cafe in Rabat, cuisine: nan, rated 3.5/5, phone available",medium,cafe,Kénitra
barber in Fes,"Maison Maggie Tangier - casual hotel in Tangier, cuisine: nan, rated 3.5/5",low,hairdresser,Fes
relax wellness Kénitra,"Rue Hammam El Anf - casual spa in Casablanca, cuisine: nan, rated 3.6/5",medium,spa,Kénitra
place for coffee in Oujda,"Café Rayane Ice - casual cafe in Oujda, cuisine: nan, rated 3.5/5",high,cafe,Oujda
gym Rabat,"Barbershop Mido - casual hairdresser in Kénitra, cuisine: nan, rated 3.5/5",low,gym,Rabat
place for drinks in Rabat,"Boulangerie Agadir - casual bakery in Rabat, cuisine: nan, rated 3.5/5",low,bar,Rabat
cafe Bni morning,"Rue Hammam Chorfa - casual spa in Rabat, cuisine: nan, rated 3.6/5",low,cafe,Bni
where to work out in Fes,"Le Park Fitness & Spa - casual gym in Fes, cuisine: nan, rated 3.5/5",high,gym,Fes
relax wellness Ifrane,"Local bakery - casual bakery in Tetouan, cuisine: nan, rated 3.5/5",low,spa,Ifrane
burger place Tangier,"Fast & Good - budget fast_food in Tangier, cuisine: nan, rated 3.5/5",high,fast_food,Tangier
where to work out in Rabat,"Gold's Gym - casual gym in Rabat, cuisine: nan, rated 3.5/5",high,gym,Rabat
spa Fes,"Ariane Coiffeur & Spa - casual spa in Fes, cuisine: nan, rated 3.5/5",high,spa,Fes
hammam Rabat,"Flower Town Hotel & Spa - casual spa in Rabat, cuisine: nan, rated 3.5/5, website available, phone available",high,spa,Rabat
spa in Rabat,"Café Oslo - casual cafe in Oujda, cuisine: nan, rated 3.5/5",low,spa,Rabat
cafe Rabat morning,"Café مقهى آدم - casual cafe in Rabat, cuisine: nan, rated 3.5/5",high,cafe,Rabat
casual hotel Tangier,"Tangier Kasbah Hostel - casual hotel in Tangier, cuisine: nan, rated 3.5/5, website available, phone available",high,hotel,Tangier
spa in Oujda,"Flower Town Hotel & Spa - casual spa in Rabat, cuisine: nan, rated 3.5/5, website available, phone available",medium,spa,Oujda
grocery Tangier,"Dg. 7 frut1as et supermarket aida enface sijn mahali - casual supermarket in Tangier, cuisine: nan, rated 3.5/5",high,supermarket,Tangier
casual gym Casablanca,"New life fitness - casual gym in Casablanca, cuisine: nan, rated 3.5/5",high,gym,Casablanca
pharmacy open now Fes,"Pharmacie Route de Meknès صيدلية طريق مكناس - casual pharmacy in Fes, cuisine: nan, rated 3.5/5, phone available",high,pharmacy,Fes
fast food near me Rabat,"Goût de Meknès - casual restaurant in Meknes, cuisine: nan, rated 3.5/5",low,fast_food,Rabat
cafe Fes morning,"Café Marrakech - casual cafe in Fes, cuisine: nan, rated 3.5/5",high,cafe,Fes
where to sleep in Chefchaouen,"Z Hotel Meknes - casual hotel in Majjate, cuisine: nan, rated 3.5/5, phone available",medium,hotel,Chefchaouen
good bar Fes nightlife,"Local bakery - casual bakery in Tangier, cuisine: nan, rated 3.5/5",low,bar,Fes
fitness center Marrakech,"O2 Fitness Sport Club - casual gym in Marrakech, cuisine: nan, rated 3.5/5",high,gym,Marrakech
pharmacy open now Tangier,"Labela spa - casual spa in Fes, cuisine: nan, rated 3.5/5",low,pharmacy,Tangier
bar Pachalik,"Bar Marrakech - casual bar in Pachalik, cuisine: nan, rated 3.5/5",high,bar,Pachalik
spa Rabat,"Rue Tahte El Hammam - casual spa in Rabat, cuisine: nan, rated 3.6/5",high,spa,Rabat
bakery in Fes,"Mimissa Bakery - casual bakery in Agadir, cuisine: nan, rated 3.5/5",medium,bakery,Fes
bakery Meknes morning,"Agadir مخبزة أكادير - casual bakery in Meknes, cuisine: nan, rated 3.5/5",high,bakery,Meknes
cafe near me Timhadit,"Café Casablanca - casual cafe in Settat, cuisine: nan, rated 3.5/5",medium,cafe,Timhadit
where can i find a pharmacy in Khenifra,"Pharmacie Tariq Meknes صيدلية طريق مكناس - casual pharmacy in Khenifra, cuisine: nan, rated 3.5/5",high,pharmacy,Khenifra
place for coffee in Oujda,"Café Ngadi - casual cafe in Oujda, cuisine: nan, rated 3.5/5",high,cafe,Oujda
hotel Majjate,"Hotel Agadir - casual hotel in Méchouar, cuisine: nan, rated 3.5/5",medium,hotel,Majjate
best restaurant Oujda good reviews,"Restaurant Miami Inn - casual restaurant in Oujda, cuisine: nan, rated 3.5/5",high,restaurant,Oujda
bakery Tetouan,"Artistico Bar - casual bar in Fes, cuisine: nan, rated 3.5/5",low,bakery,Tetouan
cozy cafe in Timhadit,"Cafe - casual cafe in Timhadit, cuisine: moroccan, rated 3.5/5",high,cafe,Timhadit
casual spa Fes,"Maison d'hôtes - casual spa in Fes, cuisine: nan, rated 3.5/5, website available, phone available",high,spa,Fes
massage Iqaddar,"Château de Roslane Boutique hôtel & Spa - casual spa in Iqaddar, cuisine: nan, rated 3.5/5",high,spa,Iqaddar
cozy cafe in Rabat,"Café - casual cafe in Rabat, cuisine: nan, rated 3.5/5",high,cafe,Rabat
where to work out in Meknes,"Associatuon of Fitness - casual gym in Meknes, cuisine: nan, rated 3.5/5",high,gym,Meknes
good bar Tangier,"Restaurant Tament - casual restaurant in Oujda, cuisine: nan, rated 3.5/5, phone available",low,bar,Tangier
bar in Fes,"Bar trianon - casual bar in Fes, cuisine: nan, rated 3.5/5",high,bar,Fes
best restaurant Bni good reviews,"pub café BAR Progres - casual bar in Fes, cuisine: nan, rated 3.5/5",low,restaurant,Bni
gym Fes,"Club Sportif Rayan Gym Form 24 - casual gym in Fes, cuisine: nan, rated 3.5/5",high,gym,Fes
hammam Rabat,"L'atmosphair Spa - casual spa in Rabat, cuisine: nan, rated 3.5/5",high,spa,Rabat
bakery in Tangier,"Boulangerie Pâtisserie Chhiouate Fes - casual bakery in Fes, cuisine: nan, rated 3.5/5",medium,bakery,Tangier
casual bar Rabat,"Bar Casablanca بار كازابلانكا - casual bar in Rabat, cuisine: nan, rated 3.5/5",high,bar,Rabat
pharmacy Akhlij,"Snak fes food - casual fast_food in Fes, cuisine: nan, rated 3.5/5",low,pharmacy,Akhlij
find me a restaurant Issaguen open now,"Ait agadir - casual fast_food in Casablanca, cuisine: nan, rated 3.5/5",low,restaurant,Issaguen
place for drinks in Fes,"Bar Isla Blanca - casual bar in Fes, cuisine: nan, rated 3.5/5",high,bar,Fes
cozy cafe in Meknes,"Café مقهى - casual cafe in Meknes, cuisine: nan, rated 3.5/5",high,cafe,Meknes
budget hotel Casablanca,"Big Boy - casual bakery in Meknes, cuisine: burger, rated 3.5/5",low,hotel,Casablanca
supermarket Tangier,"Sky Bar (Hôtel Sahrai) - casual bar in Fes, cuisine: nan, rated 3.5/5, phone available",low,supermarket,Tangier
good gym Agadir,"Local bakery - casual bakery in Tangier, cuisine: nan, rated 3.5/5",low,gym,Agadir
pharmacy Fes,"Casablanca Le Lido Thalasso & Spa - casual spa in Casablanca, cuisine: nan, rated 3.5/5, phone available",low,pharmacy,Fes
pharmacy open now Marrakech,"Pharmacie Les Portes de Marrakech صيدلية أبواب مراكش - casual pharmacy in Marrakech, cuisine: nan, rated 3.5/5",high,pharmacy,Marrakech
place to stay Tangier,"Hotel Marrakech - casual hotel in Tangier, cuisine: nan, rated 3.5/5",high,hotel,Tangier
luxury gym Fes,"Pharmacie Essenhaji Agadir صيدلية الصنهاجي أكادير - casual pharmacy in Aït, cuisine: nan, rated 3.5/5",low,gym,Fes
where can i find a pharmacy in Pachalik,"Hotel Agadir - casual hotel in Méchouar, cuisine: nan, rated 3.5/5",low,pharmacy,Pachalik
pharmacy open now Témara,"Pharmacie Mall Tétouan صيدلية مول تطوان - casual pharmacy in Tetouan, cuisine: nan, rated 3.5/5",medium,pharmacy,Témara
hammam Méchouar,"Le bain Maure hammam & spa - casual spa in Fes, cuisine: nan, rated 3.5/5",medium,spa,Méchouar
fast food near me Fes,"Snack Fast-food - budget fast_food in Fes, cuisine: nan, rated 3.5/5",high,fast_food,Fes
best restaurant Ksar good reviews,"Oasis Café Tetouan Park - casual restaurant in Souk, cuisine: nan, rated 3.5/5",medium,restaurant,Ksar
where can i find a pharmacy in Tangier,"Pharmacie Route de Rabat صيدلية طريق الرباط - casual pharmacy in Tangier, cuisine: nan, rated 3.5/5",high,pharmacy,Tangier
coffee shop in Meknes,"مقهى - casual cafe in Meknes, cuisine: nan, rated 3.5/5",high,cafe,Meknes
pharmacy open now Fes,"Pharmacie Fès Shore صيدلية فاس شور - casual pharmacy in Fes, cuisine: nan, rated 3.5/5",high,pharmacy,Fes
pharmacy open now M,"Pharmacie Mall Tétouan صيدلية مول تطوان - casual pharmacy in Tetouan, cuisine: nan, rated 3.5/5",medium,pharmacy,M
pharmacy open now Oued,"Gym Club - casual gym in Casablanca, cuisine: nan, rated 3.5/5",low,pharmacy,Oued
nan restaurant in Casablanca,"Raffaello Casablanca - casual restaurant in Casablanca, cuisine: nan, rated 3.5/5, phone available",high,restaurant,Casablanca
where can i find a pharmacy in M,"Café Ngadi - casual cafe in Oujda, cuisine: nan, rated 3.5/5",low,pharmacy,M
good cafe Oujda,"Café - casual cafe in Ksar, cuisine: nan, rated 3.5/5",medium,cafe,Oujda
where can i find a pharmacy in Casablanca,"Pharmacie Route Rabat صيدلية طريق الرباط - casual pharmacy in Oued, cuisine: nan, rated 3.5/5",medium,pharmacy,Casablanca
place for coffee in Oujda,"Café Oujda Paris - casual cafe in Oujda, cuisine: nan, rated 3.5/5",high,cafe,Oujda
hammam Casablanca,"SPA carita - casual spa in Casablanca, cuisine: nan, rated 3.5/5",high,spa,Casablanca
training club Tetouan,"ANNEXES GYM - casual gym in Agadir, cuisine: nan, rated 3.5/5",medium,gym,Tetouan
pharmacy Tangier,"pharmacy - casual pharmacy in Tangier, cuisine: nan, rated 3.5/5",high,pharmacy,Tangier
training club Marrakech,"My CrossFit Fitness Club - casual gym in Marrakech, cuisine: nan, rated 3.5/5",high,gym,Marrakech
restaurant in Rabat,"Marjane Fès Saiss - casual supermarket in Fes, cuisine: nan, rated 3.5/5, website available, phone available",low,restaurant,Rabat
restaurant Meknes,"Goût de Meknès - casual restaurant in Meknes, cuisine: nan, rated 3.5/5",high,restaurant,Meknes
massage Mechouar,"Derb El Hammam - casual spa in Mechouar, cuisine: nan, rated 3.6/5",high,spa,Mechouar
find me a restaurant Berrechid open now,"Ait agadir - casual fast_food in Casablanca, cuisine: nan, rated 3.5/5",low,restaurant,Berrechid
massage Fes,"Hammam Mernissi-Spa - casual spa in Fes, cuisine: nan, rated 3.5/5, website available, phone available",high,spa,Fes
good restaurant in Oujda,"Restaurant De France - casual restaurant in Oujda, cuisine: nan, rated 3.5/5",high,restaurant,Oujda
luxury cafe Oujda,"Café Arena Palace - luxury cafe in Oujda, cuisine: nan, rated 3.5/5, phone available",high,cafe,Oujda
where to buy food in Oujda,"Marjane Oujda مرجان وجدة - casual supermarket in Oujda, cuisine: nan, rated 3.5/5, website available, phone available",high,supermarket,Oujda
grocery Aourir,"Bain Acharaf حمام الشرف - casual spa in Casablanca, cuisine: nan, rated 3.5/5",low,supermarket,Aourir
cozy cafe in Settat,"Ait agadir - casual fast_food in Casablanca, cuisine: nan, rated 3.5/5",low,cafe,Settat
pharmacy Tangier,"Casablanca shore - casual fast_food in Casablanca, cuisine: nan, rated 3.5/5",low,pharmacy,Tangier
massage Fes,"Hammam et coiffeur - casual spa in Fes, cuisine: nan, rated 3.5/5",high,spa,Fes
relax wellness Marrakech,"Hammam Illy - casual spa in Marrakech, cuisine: nan, rated 3.5/5",high,spa,Marrakech
bakery in Casablanca,"Baguetterie Casablanca - casual bakery in Casablanca, cuisine: nan, rated 3.5/5, phone available",high,bakery,Casablanca
training club Chefchaouen,"Lina Fitness Center - casual gym in Oujda, cuisine: nan, rated 3.5/5, website available, phone available",medium,gym,Chefchaouen
budget barber in Essaouira,"Barbershop Naime - casual hairdresser in Essaouira, cuisine: nan, rated 3.5/5",high,hairdresser,Essaouira
where can i find a pharmacy in Fes,"Pharmacie corniche oued fes - casual pharmacy in Fes, cuisine: nan, rated 3.5/5",high,pharmacy,Fes
accommodation Meknes,"Snak fes food - casual fast_food in Fes, cuisine: nan, rated 3.5/5",low,hotel,Meknes
cheap hotel Tetouan,"Z Hotel Meknes - casual hotel in Majjate, cuisine: nan, rated 3.5/5, phone available",medium,hotel,Tetouan
budget spa Fes,"Riad Authentic Palace & Spa - luxury spa in Fes, cuisine: nan, rated 3.5/5",high,spa,Fes
spa in Méchouar,"Bo Hotel & Spa - casual spa in Agadir, cuisine: nan, rated 3.5/5",medium,spa,Méchouar
bar in Rabat,"Dar Meknes Tresor - casual hotel in Meknes, cuisine: nan, rated 3.5/5",low,bar,Rabat
coffee shop in Oujda,"Café Marrakech - casual cafe in Oujda, cuisine: nan, rated 3.5/5",high,cafe,Oujda
luxury cafe Oujda,"Café Oujda Paris - casual cafe in Oujda, cuisine: nan, rated 3.5/5",high,cafe,Oujda
training club Casablanca,"Lady Fitness - casual gym in Casablanca, cuisine: nan, rated 3.5/5",high,gym,Casablanca
coffee shop in Oujda,"Millennium Café - casual cafe in Oujda, cuisine: nan, rated 3.5/5, phone available",high,cafe,Oujda
pharmacy M,"Reda Fast Food - budget fast_food in Marrakech, cuisine: nan, rated 3.5/5",low,pharmacy,M
fast food near me Marrakech,"Reda Fast Food - budget fast_food in Marrakech, cuisine: nan, rated 3.5/5",high,fast_food,Marrakech
fast food near me Bab,"LIONZ KEBAB Casablanca - casual fast_food in Casablanca, cuisine: burger;fries;fried_chicken;sandwich;kebab;tacos, rated 3.5/5, website available, phone available",medium,fast_food,Bab
cafe Bab,"Cafe Le Rond Point - casual cafe in Oujda, cuisine: nan, rated 3.5/5",medium,cafe,Bab
good restaurant in Souk,"Mimissa Bakery - casual bakery in Agadir, cuisine: nan, rated 3.5/5",low,restaurant,Souk
fast food in Tangier,"American Fast Food - budget fast_food in Tangier, cuisine: american, rated 3.5/5",high,fast_food,Tangier
quick bite Casablanca,"LIONZ KEBAB Casablanca - casual fast_food in Casablanca, cuisine: burger;fries;fried_chicken;sandwich;kebab;tacos, rated 3.5/5, website available, phone available",high,fast_food,Casablanca
budget bar Ifrane,"Bonsai Sushi Bar - casual bar in Ifrane, cuisine: sushi;asian;japanese, rated 3.5/5",high,bar,Ifrane
luxury gym Agadir,"Bar restau - casual bar in Fes, cuisine: nan, rated 3.5/5",low,gym,Agadir
casual spa Marrakech,"Bab Doukkala Hammam - casual spa in Marrakech, cuisine: nan, rated 3.5/5",high,spa,Marrakech
good bar Pachalik nightlife,"Bar Marrakech - casual bar in Pachalik, cuisine: nan, rated 3.5/5",high,bar,Pachalik
good bar Rabat,"Bar Jour Et Nuit - casual bar in Rabat, cuisine: nan, rated 3.5/5",high,bar,Rabat
bar in Pachalik,"Restaurant - casual restaurant in Ksar, cuisine: nan, rated 3.5/5",low,bar,Pachalik
casual bar Fes,"Bar restaurant Tivoli - casual bar in Fes, cuisine: nan, rated 3.5/5",high,bar,Fes
pharmacy Fes,"Pharmacie Agadir صيدلية أكادير - casual pharmacy in Fes, cuisine: nan, rated 3.5/5",high,pharmacy,Fes
hairdresser Marrakech,"235th Barber Street Marrakech - casual hairdresser in Marrakech, cuisine: nan, rated 3.5/5, phone available",high,hairdresser,Marrakech
place for drinks in Tangier,"Bonsai Sushi Bar - casual bar in Ifrane, cuisine: sushi;asian;japanese, rated 3.5/5",medium,bar,Tangier
good bar Rabat nightlife,"favela bar - casual bar in Rabat, cuisine: nan, rated 3.5/5",high,bar,Rabat
massage Fes,"Hammam Bousouifa - casual spa in Fes, cuisine: nan, rated 3.5/5",high,spa,Fes
pharmacy open now Kénitra,"Local bakery - casual bakery in Tetouan, cuisine: nan, rated 3.5/5",low,pharmacy,Kénitra
quick bite Casablanca,"Fast Food - budget fast_food in Rabat, cuisine: nan, rated 3.5/5",medium,fast_food,Casablanca
pharmacy Meknes,"Pharmacie Riad Meknès صيدلية رياض مكناس - luxury pharmacy in Meknes, cuisine: nan, rated 3.5/5",high,pharmacy,Meknes
good bar Ifrane nightlife,"Bar Lounge Le Zebrano - casual bar in Rabat, cuisine: nan, rated 3.5/5",medium,bar,Ifrane
bakery Tangier morning,"Local bakery - casual bakery in Tangier, cuisine: nan, rated 3.5/5",high,bakery,Tangier
fast food in Marrakech,"Reda Fast Food - budget fast_food in Marrakech, cuisine: nan, rated 3.5/5",high,fast_food,Marrakech
grocery Oujda,"Marjane Oujda مرجان وجدة - casual supermarket in Oujda, cuisine: nan, rated 3.5/5, website available, phone available",high,supermarket,Oujda
budget spa Meknes,"Café Hamamat Tetouan - casual cafe in Chefchaouen, cuisine: nan, rated 3.5/5",low,spa,Meknes
restaurant Martil,"Restaurant - casual restaurant in Ksar, cuisine: nan, rated 3.5/5",medium,restaurant,Martil
fitness center Chefchaouen,"Amana Fitness - casual gym in Chefchaouen, cuisine: nan, rated 3.5/5, website available",high,gym,Chefchaouen
good gym Fes,"Park fitness - casual gym in Fes, cuisine: nan, rated 3.5/5",high,gym,Fes
relax wellness Rabat,"Agdal Spa Rabat - casual spa in Rabat, cuisine: nan, rated 3.5/5",high,spa,Rabat
where to work out in Aït,"ANNEXES GYM - casual gym in Agadir, cuisine: nan, rated 3.5/5",medium,gym,Aït
place to stay Ksar,"Hotel - casual hotel in Ksar, cuisine: nan, rated 3.5/5",high,hotel,Ksar
bar in Fes,"Bar restau - casual bar in Fes, cuisine: nan, rated 3.5/5",high,bar,Fes
pharmacy open now Fes,"Pharmacie de Fès صيدلية فاس - casual pharmacy in Fes, cuisine: nan, rated 3.5/5",high,pharmacy,Fes
coffee shop in Rabat,"Café مقهى آدم - casual cafe in Rabat, cuisine: nan, rated 3.5/5",high,cafe,Rabat
pharmacy Fes,"Pharmacie Route de Rabat - casual pharmacy in Casablanca, cuisine: nan, rated 3.5/5",medium,pharmacy,Fes
spa in Iqaddar,"Palais Sheherazade & spa - casual spa in Fes, cuisine: nan, rated 3.5/5",medium,spa,Iqaddar
cozy cafe in Majjate,"Café - casual cafe in Bni, cuisine: nan, rated 3.5/5",medium,cafe,Majjate
where to eat in Ksar,"Restaurant - casual restaurant in Ksar, cuisine: nan, rated 3.5/5",high,restaurant,Ksar
gym Fes,"GYM PLUS - casual gym in Fes, cuisine: nan, rated 3.5/5",high,gym,Fes
spa in Casablanca,"Bain Acharaf حمام الشرف - casual spa in Casablanca, cuisine: nan, rated 3.5/5",high,spa,Casablanca
spa in Casablanca,"SPA carita - casual spa in Casablanca, cuisine: nan, rated 3.5/5",high,spa,Casablanca
pharmacy Marrakech,"Pharmacie Bab Marrakech صيدلية باب مراكش - casual pharmacy in Marrakech, cuisine: nan, rated 3.5/5",high,pharmacy,Marrakech
pharmacy Tetouan,"Pharmacie Marrakech صيدلية مراكش - casual pharmacy in Khouribga, cuisine: nan, rated 3.5/5",medium,pharmacy,Tetouan
where to sleep in Oujda,"Hotel Oujda - casual hotel in Oujda, cuisine: nan, rated 3.5/5",high,hotel,Oujda
budget barber in Fes,"Pharmacie Agadir صيدلية أكادير - casual pharmacy in Fes, cuisine: nan, rated 3.5/5",low,hairdresser,Fes
pharmacy open now Fes,"Pharmacie Diamant de Fès صيدلية جوهرة فاس - casual pharmacy in Fes, cuisine: nan, rated 3.5/5",high,pharmacy,Fes
fast food in Marrakech,"Hilton Tangier City Center - casual hotel in Tangier, cuisine: nan, rated 3.5/5, website available, phone available",low,fast_food,Marrakech
fast food near me Casablanca,"Ait agadir - casual fast_food in Casablanca, cuisine: nan, rated 3.5/5",high,fast_food,Casablanca
good bar Rabat nightlife,"Gym Club - casual gym in Casablanca, cuisine: nan, rated 3.5/5",low,bar,Rabat
hammam Fes,"Ariane Coiffeur & Spa - casual spa in Fes, cuisine: nan, rated 3.5/5",high,spa,Fes
cafe Bni morning,"Café - casual cafe in Ksar, cuisine: nan, rated 3.5/5",medium,cafe,Bni
massage Marrakech,"Boulangerie Agadir - casual bakery in Rabat, cuisine: nan, rated 3.5/5",low,spa,Marrakech
coffee shop in Oujda,"cafe Le Consul - casual cafe in Oujda, cuisine: nan, rated 3.5/5, phone available",high,cafe,Oujda
where can i find a pharmacy in Pachalik,"Pharmacie Route Marrakech صيدلية طريق مراكش - casual pharmacy in Pachalik, cuisine: nan, rated 3.5/5",high,pharmacy,Pachalik
bakery in Meknes,"Big Boy - casual bakery in Meknes, cuisine: burger, rated 3.5/5",high,bakery,Meknes
good bar Ifrane,"Bar Marrakech - casual bar in Pachalik, cuisine: nan, rated 3.5/5",medium,bar,Ifrane
cheap cafe Settat,"Café Casablanca - casual cafe in Settat, cuisine: nan, rated 3.5/5",high,cafe,Settat
good spa Tasoultante,"Rue Hammam El Anf - casual spa in Méchouar, cuisine: nan, rated 3.6/5",medium,spa,Tasoultante
restaurant in Souk,"Restaurant Agadir - casual restaurant in Guercif, cuisine: nan, rated 3.5/5",medium,restaurant,Souk
spa in Agadir,"Borjs Hotel Suites & SPA - casual spa in Agadir, cuisine: nan, rated 3.5/5",high,spa,Agadir
pharmacy open now Tetouan,"صيدلية - casual pharmacy in Tetouan, cuisine: nan, rated 3.5/5",high,pharmacy,Tetouan
supermarket Lamharza,"Supermarket - casual supermarket in Lamharza, cuisine: nan, rated 3.5/5",high,supermarket,Lamharza
barber in Kénitra,"Salon Fath Bout y fes - casual hairdresser in Fes, cuisine: nan, rated 3.5/5, phone available",medium,hairdresser,Kénitra
nan restaurant in Casablanca,"Nearshore Casablanca - casual restaurant in Casablanca, cuisine: nan, rated 3.5/5",high,restaurant,Casablanca
relax wellness Meknes,"Hammam & douches - casual spa in Meknes, cuisine: nan, rated 3.5/5",high,spa,Meknes
where can i find a pharmacy in Fes,"Pharmacie Route de Meknès صيدلية طريق مكناس - casual pharmacy in Fes, cuisine: nan, rated 3.5/5, phone available",high,pharmacy,Fes
grocery Fes,"supermarket(Alcohol) - casual supermarket in Tangier, cuisine: nan, rated 3.5/5",medium,supermarket,Fes
gym Aït,"قاعة ومطعم اوميگا كلوب - casual gym in Aït, cuisine: nan, rated 3.5/5, website available, phone available",high,gym,Aït
good bar Fes nightlife,"Bar Lounge Le Zebrano - casual bar in Rabat, cuisine: nan, rated 3.5/5",medium,bar,Fes
place for drinks in Fes,"Bar trianon - casual bar in Fes, cuisine: nan, rated 3.5/5",high,bar,Fes
casual bakery Saâda,"Bakery - casual bakery in Saâda, cuisine: nan, rated 3.5/5",high,bakery,Saâda
grocery Lamharza,"Maison Maggie Tangier - casual hotel in Tangier, cuisine: nan, rated 3.5/5",low,supermarket,Lamharza
pharmacy Demnate,"Pharmacie Marrakech صيدلية مراكش - casual pharmacy in Demnate, cuisine: nan, rated 3.5/5",high,pharmacy,Demnate
fresh bread Rabat,"Tradi Maison Fès - casual bakery in Fes, cuisine: nan, rated 3.5/5",medium,bakery,Rabat
grocery Aourir,"Supermarket - casual supermarket in Lamharza, cuisine: nan, rated 3.5/5",medium,supermarket,Aourir
burger place Marrakech,"Pharmacie Route de Fès صيدلية طريق فاس - casual pharmacy in Meknes, cuisine: nan, rated 3.5/5",low,fast_food,Marrakech
spa in Fes,"Dar Besouda - casual spa in Fes, cuisine: nan, rated 3.5/5",high,spa,Fes
i want to eat in Berrechid,"Marjane Fès II مرجان فاس 2 - casual supermarket in Fes, cuisine: nan, rated 3.5/5",low,restaurant,Berrechid
fast food in Tetouan,"Alba Fast Food - budget fast_food in Casablanca, cuisine: nan, rated 3.5/5",medium,fast_food,Tetouan
spa Tangier,"marjane supermarket - casual supermarket in Pachalik, cuisine: nan, rated 3.5/5",low,spa,Tangier
find me a restaurant Oued open now,"Restaurant - casual restaurant in Issaguen, cuisine: nan, rated 3.5/5",medium,restaurant,Oued
good bar Agadir nightlife,"Hauptbar - casual bar in Agadir, cuisine: nan, rated 3.5/5",high,bar,Agadir
fitness center Rabat,"My Gym - casual gym in Rabat, cuisine: nan, rated 3.5/5",high,gym,Rabat
where to work out in Meknes,"Chorouk Fitness - casual gym in Tetouan, cuisine: nan, rated 3.5/5, phone available",medium,gym,Meknes
place for drinks in Fes,"Pharmacie tetouan shore - casual pharmacy in M, cuisine: nan, rated 3.5/5",low,bar,Fes
gym Tetouan,"Yasser Gym Form - casual gym in Fes, cuisine: nan, rated 3.5/5, phone available",medium,gym,Tetouan
where can i find a pharmacy in Meknes,"Pharmacie Riad Meknès صيدلية رياض مكناس - luxury pharmacy in Meknes, cuisine: nan, rated 3.5/5",high,pharmacy,Meknes
i want to eat in Tangier,"Restaurant Universitaire - casual restaurant in Oujda, cuisine: nan, rated 3.5/5",medium,restaurant,Tangier
cafe Fes,"Cafe fes - casual cafe in Fes, cuisine: nan, rated 3.5/5",high,cafe,Fes
hairdresser Marrakech,"Café Marrakech - casual cafe in Fes, cuisine: nan, rated 3.5/5",low,hairdresser,Marrakech
best restaurant Rabat good reviews,"Instagrill Rabat - casual restaurant in Rabat, cuisine: barbecue, rated 3.5/5",high,restaurant,Rabat
casual spa Ifrane,"Instagrill Rabat - casual restaurant in Rabat, cuisine: barbecue, rated 3.5/5",low,spa,Ifrane
pharmacy Agadir,"Pharmacie Agadir Oufella صيدلية أكادير أوفلا - casual pharmacy in Agadir, cuisine: nan, rated 3.5/5",high,pharmacy,Agadir
